"to, attached to","к, прикреплённый к"
to offer,предлагать
attention,внимание
to arrive,прибыть
number of,количество
attractive,привлекательный
attack,атака
present,настоящее
soil,почва
absolutely,абсолютно
to accept,принимать
behind,за
background,фон
action,действие
active,активная
activity,деятельность
address,адрес
advice,совет
department,отдел
"to go down, descend","спускаться, спускаться"
to finish up,закончить
"to pay, settle the bill","заплатить, оплатить счет"
goodbye,До свидания
appointment,назначение
to make an appointment,записаться на прием
distance,расстояние
to graduate,закончить школу
to do the dishes,мыть посуду
agent,агент
already,уже
general,общее
all,все
both,оба
only,только
all of them,все они
all,все
everything,все
"if, when","если, когда"
as if,как будто
always,всегда
civil servant,государственный служащий
other,другие
different,разные
fear,страх
answer,ответ
to answer,отвечать
labor,труд
worker,рабочий
argument,аргумент
arm,рука
article,статья
aspect,аспект
author,автор
automatically,автоматически
boss,босс
baby,ребенок
afraid,боится
bank,банк
base,база
bed,кровать
company,компания
statue,статуя
leg,нога
get started,начать
"to start, begin","начинать, приступать"
understanding,понимание
except,кроме
therapy,терапия
need,нужно
both,оба
interest,проценты
policy,политика
to call,звонить
down,вниз
determined,определено
prepared,подготовлено
profession,профессия
protection,защита
decision,решение
decision,решение
to decide,решать
to discuss,обсудить
board,доска
to pay,платить
to mean,означать
meaning,значение
better,лучше
turn,повернуть
to contain,содержать
to move,двигаться
movement,движение
proof,доказательство
conscious,сознание
busy,занят
possession,владение
visit,посетите
to influence,влиять
beer,пиво
at,на
contribution,вклад
almost (nearly),почти (почти)
to bite,кусаться
for example,например
special,специальный
"within, inside","внутри, внутри"
to enter,войти
bitter,горький
sheet,лист
blue,голубой
happy,счастливый
apparently,"очевидно,"
to stay,оставаться
look,смотреть
blood,кровь
flower,цветок
"bottom, ground","дно, земля"
book,книга
farmer,фермер
message,сообщение
bow,бант
tree,дерево
angry,сердитый
boat,лодка
plate,тарелка
chest,грудь
forest,лес
upstairs,наверху
moreover,более того
fire,пожар
wide,широкий
to bring,приносить
letter,письмо
pants,брюки
brother,брат
source,источник
bread,хлеб
bridge,мост
brown,коричневый
stomach,желудок
outside,за пределами
foreign,иностранный
desk,стол
mayor,мэр
civil,гражданская
bus,автобус
neighborhood,район
cafe,кафе
category,категория
centre,центр
colleague,коллега
combination,комбинация
communication,общение
computer,компьютер
conclusion,заключение
consequence,следствие
contact,связаться с
crisis,кризис
cultural,культура
culture,культура
there,там
after that,после этого
therefore,поэтому
day,день
daily,ежедневно
roof,крыша
then,затем
to thank,благодарить
to dance,танцевать
that (het words),что (хет-слова)
the,сайт
part,часть
final,окончательный
blanket,одеяло
to think,думать
third,третий
detail,подробнее
door,дверь
this (de words),это (де слова)
the same,одинаковый
nearby,поблизости
"close by, far away","рядом, далеко"
to close,закрываться
shift,смена
deep,глубокий
animal,животное
fat,жир
"fat, thin","толстый, худой"
thing,вещь
directly,напрямую
director,директор
discussion,обсуждение
this (het words),это (хет-слова)
daughter,дочь
target,цель
"goal, objective","цель, задача"
to do,делать
doctor,доктор
stupid,глупый
dark,темный
"dark, light","тёмный, светлый"
death,смерть
because,потому что
to continue,продолжать
to pass along,передавать
box,ящик
village,деревня
three,три
to drink,пить
to dream,мечтать
dry,сухой
"dry, wet","сухой, влажный"
dream,мечта
pressure,давление
double,двойной
clearly,ясно
thin,тонкий
to last,до последнего
so (conclusion),так (вывод)
expensive,дорогой
transverse,поперечный
however,однако
economy,экономика
a,a
a couple,пара
a while,некоторое время
once,однажды
simple,простой
honor,честь
earlier,ранее
first,первый
century,век
effect,эффект
own,собственный
owner,владелец
actually,на самом деле
charachteristic,характристика
island,остров
end,конец
finally,наконец-то
endless,бесконечный
to end,заканчивать
demand,спрос
each,каждый
emotion,эмоции
emotional,эмоциональный
and,и
energy,энергия
english,английский
only,только
enormous,огромный
there (exists),есть (существует)
somewhere,где-то
serious,серьезный
experience,опыт
to eat,есть
for a while,на некоторое время
balance,баланс
experiment,эксперимент
factory,завод
factor,фактор
family,семья
phase,фаза
party,вечеринка
fact,факт
bicycle,велосипед
figure,рисунок
nice,хороший
movie,фильм
financial,финансы
bottle,бутылка
hefty,большой
to formulate,формулировать
photo,фото
mistake,ошибка
fruit,фрукты
function,функция
fundamentally,в корне
to go,идти
corridor,коридор
guest,гость
hole,отверстие
soon,скоро
area,область
born,родился
building,здание
to use,использовать
to use,использовать
thought,мысль
part,часть
poem,стихотворение
behaviour,поведение
give,дать
yellow,желтый
whole,целиком
secret,секрет
memory,память
crazy,сумасшедший
money,деньги
ago,назад
opportunity,возможность
equal,равный
"faith, belief","вера, убеждения"
sound,звук
luck,удача
happy,счастливый
ease,легкость
easy,легко
mean,среднее
generation,поколение
enough,достаточно
history,история
conversation,разговор
smell,запах
danger,опасность
dangerous,опасно
case,случай
"jail, prison","тюрьма, тюрьма"
to give,давать
feeling,ощущение
consequence,следствие
violence,насилие
"awesome, great","потрясающий, великолепный"
just,просто
usually,обычно
habit,привычка
authority,авторитет
cozy,уютный
face,лицо
family,семья
healthy,здоровый
"healthy, sick","здоровый, больной"
health,здоровье
glass,стекло
smile,улыбка
religion,религия
good,хорошо
"good, bad","хороший, плохой"
goods,товары
cheap,дешевые
"cheap, expensive","дешёвый, дорогой"
wave,волна
curtains,шторы
golden,золотой
gladly,с удовольствием
grass,трава
grip,захват
border,граница
gray,серый
growth,рост
to grow,расти
green,зеленый
group,группа
"big, small","большой, маленький"
favorable,благоприятный
her,ее
rush,спешите
half,половина
neck,шея
hand,рука
act,акт
hard,твердый
"hard, soft","твёрдый, мягкий"
heart,сердце
to have,иметь
very,очень
away,прочь
delicious,вкусно
hot,горячая
completely,полностью
half,половина
to help,помогать
him,ему
to repeat,повторять
reminder,напоминание
it,это
the same,одинаковый
"the same, different","одинаковый, разный"
hill,холм
here,здесь
he,он
historical,исторический
how,как
hat,шляпа
corner,угол
to need to,нуждаться в
Holland,Голландия
dog,собака
hungry,голодный
head,глава
high,высокий
"high, low","высокий, низкий"
height,высота
pile,свая
to hope,надеяться
to hear,слышать
hotel,отель
"to keep, hold","хранить, держать"
attitude,отношение
house,дом
doctor,доктор
help,помощь
hut,хижина
wedding,свадьба
ideal,идеальный
idea,идея
everyone,все
someone,кто-то
I,I
in,в
indeed,действительно
individual,индивидуально
individually,индивидуально
impression,впечатление
information,информация
to enter,войти
initiative,инициатива
to hand in,сдавать
in the meantime,тем временем
to get in,попасть
instrument,инструмент
interesting,интересно
to be interested,интересоваться
international,международный
meanwhile,Тем временем
influence,влияние
yes,да
year,год
unfortunately,к сожалению
jacket,куртка
"you (single, informal, subject)","вы (одиночный, неформальный, подлежащий)"
youth,молодежь
yourself,себя
"you (single, informal, stressed)","вы (одинокий, неформальный, с ударением)"
young,молодой
"young, old","молодой, старый"
young man,молодой человек
"you (informal, indirect object)","вы (неформальный, косвенный объект)"
"right, correct","правильно, правильно"
you (plural),вы (множественное число)
june,июнь
dress,платье
cheese,сыр
calm,спокойствие
room,комната
camp,лагерь
opportunity,возможность
side,сторона
office,офис
broken,сломанный
character,персонаж
closet,шкаф
cat,кот
throat,горло
times,раз
characteristics,характеристики
to know,знать
church,церковь
core,ядро
kitchen,кухня
choice,выбор
to select,чтобы выбрать
to look,смотреть
kilometers,километры
child,ребенок
chest,грудь
ready,готово
complaint,жалоба
customer,клиент
blow,дуть
class,класс
classic,классика
carpet,ковер
small,маленький
clothes,одежда
color,цвет
to climb,подняться
good looking,хорошо выглядящий
knee,колено
cool,прохладный
suitcase,Чемодан
coffee,кофе
to come,приехать
king,король
queen,королева
headline,заголовок
to buy,покупать
short,короткие
to cost,к стоимости
cold,холод
power,мощность
powerful,мощный
"to get, receive","получать, получать"
circle,круг
cross,крест
"can, to be able to","может, чтобы быть в состоянии"
artist,художник
coast,побережье
quality,качество
lost,потерянный
low,низкий
late,поздно
last,последний
to laugh,смеяться
landscape,ландшафт
long,длинный
"tall, short","высокий, низкий"
along,вдоль
to pass by,проходить мимо
slowly,медленно
"slow, fast","медленно, быстро"
burden,бремя
to let,позволить
later,позже
age,возраст
empty,пустой
leather,кожа
pupil,ученик
to lead,руководить
leader,лидер
leadership,лидерство
"tasty, nice","вкусно, красиво"
"tasty, disgusting","вкусный, отвратительный"
ugly,Уродливый
to borrow,брать в долг
teacher,учитель
to learn,учиться
fun,веселье
to live,жить
to deliver,доставлять
to read,читать
body,тело
light,свет
member,член
sweet,сладкий
love,любовь
most preferably,предпочтительно
to lie,лгать
corpse,труп
list,список
left,слева
lip,губы
literature,литература
logical,логический
to walk,ходить
loose,свободный
sky,небо
to listen,слушать
lieutenant,лейтенант
"to succeed, work out","добиваться успеха, работать"
stomach,желудок
meal,еда
moon,луна
month,месяц
but,но
measure,измерять
measure,измерять
society,общество
machine,машина
power,мощность
to make,сделать
easy,легко
mom,мама
man,человек
husband,муж
way,путь
market,рынок
material,материал
me (unstressed),я (без ударения)
medical,медицинский
to bring with,брать с собой
to participate,участвовать
to give with,давать с
to watch with..,смотреть с...
to come along,приехать
to take with,взять с собой
more,подробнее
mostly,в основном
master,мастер
to mean,означать
opinion,мнение
human,человек
human,человек
knife,нож
with,с
right away,сразу же
meter,счетчик
method,метод
Mrs.,Миссис.
myself,сам
me (stressed),я (подчеркнуто)
my,мой
environment,окружающая среда
million,миллион
minister,министр
minute,минута
maybe,возможно
to miss,пропустить
modern,современный
tired,усталый
courage,мужество
mother,мать
difficult,сложно
"difficult, easy","трудно, легко"
difficulty,трудности
effort,усилия
"should, must","должен, обязан"
possible,возможно
possibility,возможность
"to be allowed to, may","быть допущенным, может"
moment,момент
mouth,рот
"beautiful, pretty","красивый, симпатичный"
"pretty, ugly","красивый, уродливый"
motive,мотив
museum,музей
wall,стена
music,музыка
after,после
name,имя
to,на
next to,рядом с
night,ночь
namely,а именно
wet,мокрый
national,национальная
nature,природа
of course,конечно
barely,едва
accurate,точный
no,нет
to put down,опускать
to put down,опускать
negative,отрицательный
"negative, positive","негативный, позитивный"
neck,шея
to take,брать
nowhere,нигде
just,просто
nose,нос
nobody,никто
not,не
new,новый
"new, old","новый, старый"
nothing,ничего
neither,ни
required,требуется
yet,но
quite,довольно
need,нужно
necessary,необходимо
north,север
normal,нормальный
well,хорошо
now,сейчас
number,номер
helpful,полезно
object,объект
or,или
officially,официально
officer,офицер
October,Октябрь
oil,масло
around,вокруг
to handle,справиться
surroundings,окрестности
up,вверх
circumstance,обстоятельство
despite,несмотря на
below,ниже
"difference, distinction","разница, различие"
"topic, subject","тема, предмет"
education,образование
research,исследование
accident,авария
"undoubtedly, surely","несомненно, конечно"
approximately,примерно
immediately,немедленно
impossible,невозможно
our,наш
to lack,испытывать недостаток
to meet,встретиться
meeting,встреча
development,разработка
unexpected,неожиданный
eye,глаз
ever,когда-либо
also,также
uncle,дядя
ear,ухо
judgement,суждение
war,война
cause,причина
on,на
to call up,вызывать
"assignment, exercise","задание, упражнение"
suddenly,внезапно
open,открыть
"open, closed","открытый, закрытый"
public,публичный
to open,открыть
to open,открыть
operation,операция
to pick up,забрать
education,образование
to resolve,решать
solution,решение
comment,комментарий
again,снова
to write down,записывать
to get up,вставать
view,посмотреть
education,образование
organ,орган
organization,организация
to organize,организовывать
old,старый
about,о
everywhere,везде
agreement,соглашение
government,правительство
"other, remaining","другой, оставшийся"
moreover,более того
consultation,консультация
to cross,пересечь
horse,лошадь
path,путь
business suit,деловой костюм
to grab,схватить
paper,бумага
partner,партнер
only,только
to pass,пройти
patient,пациент
pattern,шаблон
period,период
press,нажмите
staff,персонал
person,человек
personally,лично
personality,личность
pain,боль
painful,болезненный
plate,тарелка
place,место
place,место
plan,план
plant,завод
place,место
pleasure,удовольствие
suddenly,внезапно
attempt,попытка
law enforcement,правоприменение
leg,нога
position,позиция
positive,положительный
pot,горшок
magnificent,великолепный
practice,практика
practical,практический
to talk,говорить
president,президент
pleasant,приятный
price,цена
problem,проблема
per cent,процент
process,процесс
to produce,производить
product,продукт
production,производство
program,программа
project,проект
province,провинция
psychology,психология
psychological,психологический
psychologist,психолог
to publish,публиковать
advice,совет
window,окно
radio,радио
edge,край
reaction,реакция
to realize,понимать
straight,прямой
judge,судья
"reasonable, reasonably","разумно, обоснованно"
reason,причина
series,серия
rule,правило
regulation,регулирование
government,правительство
"trip, journey","поездка, путешествие"
to travel,путешествовать
bill,билл
relationship,отношения
relatively,относительно
To run,Чтобы запустить
rest,отдых
restaurant,ресторан
result,результат
towards,в направлении
queue,очередь
to drive,управлять
rich,богатый
"rich, poor","богатый, бедный"
risk,риск
river,река
role,роль
round,круглый
red,красный
smoke,дым
back,назад
to smell,чувствовать запах
spacious,просторный
space,космос
"peace, calm","мир, спокойствие"
to rest,отдыхать
quiet,тихий
together,вместе
society,общество
to cooperate,сотрудничать
cooperation,сотрудничество
to live together,жить вместе
damage,ущерб
shadow,тень
shoe,обувь
school,школа
clean,чистый
"clean, dirty","чистый, грязный"
to clean,очищать
shoulder,плечо
to write,писать
writer,писатель
debt,долг
second (time),секунда (время)
sector,сектор
serious,серьезный
ambiance,атмосфера
cigarette,сигарета
since,с
sleep,спать
bedroom,спальня
battle,битва
to sleep,спать
bad,плохой
key,ключ
key lock,ключевой замок
to close,закрываться
taste,вкус
narrow,узкий
"narrow, wide","узкий, широкий"
snow,снег
fast,быстро
speed,скорость
social,социальная
soldier,солдат
some,несколько
sometimes,иногда
kind,добрый
"tension, stress","напряжение, стресс"
special,специальный
specific,конкретный
game,игра
to play,играть
mirror,зеркало
track,трек
to speak,говорить
to stand,стоять
state,государство
city,город
step,шаг
to step,переходить
station,станция
stone,камень
voice,голос
star,звезда
strong,сильный
"strong, weak","сильный, слабый"
stiff,жесткий
to rise,подниматься
style,стиль
quiet,тихий
silence,молчание
chair,кресло
chair,кресло
dust,пыль
to stop,остановиться
street,улица
punishment,наказание
tight,плотно
beach,пляж
region,регион
to stretch,растягиваться
strict,строго
flow,поток
structure,структура
student,студент
to study,изучать
study,исследование
piece,шт.
to send,отправлять
steering wheel,рулевое колесо
good luck,удача
sugar,сахар
symbol,символ
system,система
language,язык
table,таблица
branch,филиал
tooth,зуб
aunt,тетя
too,слишком
technic,technic
technical,технические
against,против
"to come across (somebody), walk into (somebody)","сталкиваться с кем-либо, входить в кого-либо"
opposite,напротив
opponent,противник
contrary,вопреки
text,текст
phone,телефон
television,телевидение
at least,по крайней мере
finally,наконец-то
term,термин
terrace,терраса
terrain,местность
back,назад
to come back,вернуться
while,в то время как
satisfied,довольны
tea,чай
theoretically,теоретически
theory,теория
at home,дома
ten,десять
time,время
magazine,журнал
title,название
however,однако
tour,тур
future,будущее
future,будущее
then (past),тогда (в прошлом)
coincidentally,случайно
tongue,язык
top,топ
until,до
total,всего
tear,слеза
tradition,традиция
traditional,традиционный
stairs,лестница
train,поезд
mess,беспорядок
pride,гордость
to marry,жениться
"besides, by the way","кроме того, кстати"
in between,между
two,два
doubt,сомневаться
typical,типичный
"you (single, formal)","вы (единственное, формальное)"
expression,выражение
in the end,в конце концов
to go out,выходить
to explain,объяснять
exclusively,исключительно
pronunciation,произношение
to get off,сойти
excellent,отличный
exception,исключение
university,университет
hour,час
often,часто
father,отец
"field, subject","поле, предмет"
to fall,падать
"from, of","от, из"
today,сегодня
from,с сайта
fixed,исправлено
to fight,бороться
many,много
"much, little","много, мало"
safe,безопасный
field,поле
guy,парень
far,далеко
to change,меняться
change,изменить
responsibility,ответственность
surprised,удивлен
bandage,бинт
surprise,сюрприз
to forbid,запрещать
further,далее
to continue,продолжать
to earn,зарабатывать
floor,пол
sadness,грусть
sad,грустный
"association, club","ассоциация, клуб"
meeting,встреча
comparison,сравнение
to forget,забыть
story,история
ratio,соотношение
statement,заявление
to sell,продавать
desire,желание
past,прошлое
loss,потеря
to lose,терять
difference,разница
differences,различия
different,разные
various,различные
terrible,ужасный
report,отчет
to spread,распространяться
"wit, wiseness","остроумие, мудрость"
to tell,рассказать
departure,отправление
"to leave, to depart","уходить, уезжать"
thereafter,далее
to fulfill,выполнять
expectation,ожидание
request,запрос
through,через
four,четыре
to celebrate,праздновать
enemy,враг
five,пять
to find,найти
finger,палец
fish,рыба
vision,видение
flat,квартира
meat,мясо
to fly,летать
floor,пол
flight,рейс
to flee,бежать
quickly,быстро
moist,влажный
food,еда
to feel,чувствовать
foot,нога
full,полный
enough,достаточно
next,следующий
according to,согласно
people,люди
complete,полный
"in front of, before","перед, перед"
mostly,в основном
example,пример
before,до
benefit,выгода
forehead,лоб
preference,предпочтение
proposal,предложение
object,объект
careful,осторожно
chairman,председатель
"last, previous","последний, предыдущий"
"last, next","последний, следующий"
formation,образование
question,вопрос
to ask,спросить
peace,мир
strange,странный
horrible,ужасный
joy,радость
friend,друг
friendly,дружелюбный
girlfriend,девушка
free,бесплатно
freedom,свобода
almost (very close),почти (очень близко)
early,рано
back in the days,в те времена
cheerful,веселый
woman,женщина
fruit,фрукты
to fill,заполнять
fire,пожар
true,правда
value,значение
truth,правда
probably,возможно
to wait,ждать
awake,проснуться
wall,стена
cheeks,щеки
when,когда
weapon,оружие
warm,теплый
"warm, cold","тёплый, холодный"
warmth,тепло
to wash,мыть
what,что
water,вода
we (unstressed),мы (без ударения)
week,неделя
away,прочь
to take away,отнимать
to leave,уезжать
to throw away,выбрасывать
"little, few","маленький, немного"
which,который
perhaps,"возможно,"
wish,пожелание
to wish,желать
world,мир
work,работа
reality,реальность
to work,работать
west,запад
western,запад
law,закон
to know,знать
science,наука
scientific,научный
we (stressed),мы (подчеркнуто)
wide,широкий
wine,вино
wild,дикий
to want,хотеть
wind,ветер
to win,выиграть
profit,прибыль
winter,зима
white,белый
cloud,облако
house,дом
word,слово
to become,стать
"matter, business","дело, бизнес"
hall,зал
soft,мягкий
bag,сумка
affairs,дела
sand,песок
sea,море
very,очень
to say,сказать
sure,конечно
security,безопасность
self,себя
even,даже
to send,отправлять
six,шесть
to put,ставить
himself,сам
sick,больной
hospital,больница
disease,болезнь
to see,видеть
she,она
to be,быть
sentence,предложение
to sing,петь
to sit,сидеть
so,так что
such as,такие как
so that,чтобы
as soon as,как только
to search,для поиска
sweet,сладкий
as long as,"до тех пор, пока"
summer,лето
sunday,воскресенье
without,без
son,сын
care,уход
to care,заботиться
would,будет
that much,так много
"shall, will","будет, будет"
sister,сестра
heavy,тяжелый
"heavy, light","тяжёлый, лёгкий"
weak,слабый
black,черный
"black, white","чёрный, белый"
